,title,country,region,rank_display,score,url,faculty_tot,faculty_int,student_tot,student_int
0,Massachusetts Institute of Technology (MIT),United States,North America,1.0,100.0,https://www.topuniversities.com/universities/massachusetts-institute-technology-mit#wurs,2982.0,1679.0,11067.0,3717.0
1,Stanford University,United States,North America,2.0,98.7,https://www.topuniversities.com/universities/stanford-university#wurs,4285.0,2042.0,15878.0,3611.0
2,Harvard University,United States,North America,3.0,98.4,https://www.topuniversities.com/universities/harvard-university#wurs,4350.0,1311.0,22429.0,5266.0
3,California Institute of Technology (Caltech),United States,North America,4.0,97.7,https://www.topuniversities.com/universities/california-institute-technology-caltech#wurs,953.0,350.0,2255.0,647.0
4,University of Cambridge,United Kingdom,Europe,5.0,95.6,https://www.topuniversities.com/universities/university-cambridge#wurs,5490.0,2278.0,18770.0,6699.0
5,University of Oxford,United Kingdom,Europe,6.0,95.3,https://www.topuniversities.com/universities/university-oxford#wurs,6750.0,2964.0,19720.0,7353.0
6,UCL (University College London),United Kingdom,Europe,7.0,94.6,https://www.topuniversities.com/universities/ucl-university-college-london#wurs,6345.0,2554.0,31080.0,14854.0
7,Imperial College London,United Kingdom,Europe,8.0,93.7,https://www.topuniversities.com/universities/imperial-college-london#wurs,3930.0,2071.0,16090.0,8746.0
8,University of Chicago,United States,North America,9.0,93.5,https://www.topuniversities.com/universities/university-chicago#wurs,2449.0,635.0,13557.0,3379.0
9,ETH Zurich - Swiss Federal Institute of Technology,Switzerland,Europe,10.0,93.3,https://www.topuniversities.com/universities/eth-zurich-swiss-federal-institute-technology#wurs,2477.0,1886.0,19815.0,7563.0
10,"Nanyang Technological University, Singapore (NTU)",Singapore,Asia,11.0,92.2,https://www.topuniversities.com/universities/nanyang-technological-university-singapore-ntu#wurs,4338.0,2993.0,25738.0,7251.0
11,Ecole Polytechnique Fédérale de Lausanne (EPFL),Switzerland,Europe,12.0,91.2,https://www.topuniversities.com/universities/ecole-polytechnique-f%C3%A9d%C3%A9rale-de-lausanne-epfl#wurs,1695.0,1300.0,10343.0,5896.0
12,Princeton University,United States,North America,13.0,91.0,https://www.topuniversities.com/universities/princeton-university#wurs,1007.0,246.0,8069.0,1793.0
13,Cornell University,United States,North America,14.0,90.7,https://www.topuniversities.com/universities/cornell-university#wurs,2718.0,970.0,21904.0,5411.0
14,National University of Singapore (NUS),Singapore,Asia,15.0,90.5,https://www.topuniversities.com/universities/national-university-singapore-nus#wurs,5106.0,3086.0,32728.0,8917.0
15,Yale University,United States,North America,16.0,90.4,https://www.topuniversities.com/universities/yale-university#wurs,4940.0,1708.0,12402.0,2469.0
16,Johns Hopkins University,United States,North America,17.0,89.8,https://www.topuniversities.com/universities/johns-hopkins-university#wurs,4462.0,1061.0,16146.0,4105.0
17,Columbia University,United States,North America,18.0,88.9,https://www.topuniversities.com/universities/columbia-university#wurs,6189.0,913.0,25045.0,8105.0
18,University of Pennsylvania,United States,North America,19.0,88.7,https://www.topuniversities.com/universities/university-pennsylvania#wurs,5499.0,1383.0,20639.0,4250.0
19,The Australian National University,Australia,Oceania,20.0,87.1,https://www.topuniversities.com/universities/australian-national-university#wurs,1600.0,927.0,14442.0,5551.0
20,Duke University,United States,North America,21.0,87.0,https://www.topuniversities.com/universities/duke-university#wurs,2938.0,226.0,15320.0,2864.0
21,University of Michigan,United States,North America,21.0,87.0,https://www.topuniversities.com/universities/university-michigan#wurs,6809.0,1920.0,43147.0,7527.0
