,frequ,nkill,latitude,longitude,country
Taliban,6590.0,24637.0,34.091128000000005,69.093347,Afghanistan
Islamic State of Iraq and the Levant (ISIL),4317.0,31189.0,34.316204,43.868365000000004,Iraq
Shining Path (SL),4303.0,10171.0,-12.046378,-77.04279100000001,Peru
Farabundo Marti National Liberation Front (FMLN),2952.0,7474.0,13.760003,-88.949766,El Salvador
Al-Shabaab,2675.0,7347.0,2.046871,45.318141,Somalia
Irish Republican Army (IRA),2660.0,1804.0,54.597269,-5.930109,United Kingdom
Revolutionary Armed Forces of Colombia (FARC),2342.0,5058.0,1.901309,-76.28312,Colombia
New People's Army (NPA),2151.0,3093.0,14.596051000000001,120.97866599999999,Philippines
Boko Haram,2080.0,18525.0,11.439445,13.422292,Nigeria
Kurdistan Workers' Party (PKK),2046.0,4320.0,39.770854,39.050084999999996,Turkey
Basque Fatherland and Freedom (ETA),1993.0,802.0,43.090476,-2.3132200000000003,Spain
Communist Party of India - Maoist (CPI-Maoist),1770.0,2253.0,23.332078,86.365208,India
Liberation Tigers of Tamil Eelam (LTTE),1555.0,10735.0,8.273502,80.500775,Sri Lanka
Maoists,1422.0,1442.0,18.638763,81.444647,India
National Liberation Army of Colombia (ELN),1409.0,1547.0,8.25205,-73.354232,Colombia
Tehrik-i-Taliban Pakistan (TTP),1288.0,6070.0,34.04792,71.52120500000001,Pakistan
Palestinians,1082.0,501.0,31.929278999999998,35.03559,Israel
Al-Qaida in the Arabian Peninsula (AQAP),990.0,3517.0,14.533885999999999,49.110716,Yemen
Houthi extremists (Ansar Allah),872.0,2688.0,13.583145000000002,44.019369,Yemen
Manuel Rodriguez Patriotic Front (FPMR),812.0,93.0,-33.469115,-70.641997,Chile
Sikh Extremists,672.0,2638.0,31.147130999999998,75.34121800000001,India
Nicaraguan Democratic Force (FDN),669.0,4578.0,13.33159,-86.05496,Nicaragua
Corsican National Liberation Front (FLNC),635.0,13.0,41.918890999999995,8.737554,France
Al-Qaida in Iraq,635.0,4393.0,33.394528,44.380392,Iraq
Donetsk People's Republic,613.0,1633.0,48.070554,37.743672,Ukraine
African National Congress (South Africa),575.0,596.0,-26.177929000000002,27.974858,South Africa
Separatists,566.0,688.0,6.54085,101.536173,Thailand
Tupac Amaru Revolutionary Movement (MRTA),554.0,558.0,-12.046378,-77.04279100000001,Peru
Muslim extremists,553.0,1029.0,34.314996,74.34554399999999,India
M-19 (Movement of April 19),540.0,1339.0,4.6366190000000005,-74.122652,Colombia
Abu Sayyaf Group (ASG),483.0,813.0,6.556828,121.883449,Philippines
Fulani extremists,444.0,2877.0,7.889111,7.912508,Nigeria
Hamas (Islamic Resistance Movement),427.0,1055.0,31.557578000000003,34.542934,Israel
People's Liberation Front (JVP),421.0,832.0,6.93492,80.338021,Sri Lanka
National Union for the Total Independence of Angola (UNITA),399.0,2292.0,-9.251797,14.105072,Angola
Palestinian Extremists,388.0,222.0,31.789044,35.203134999999996,Israel
Moro Islamic Liberation Front (MILF),368.0,747.0,7.18929,124.63155400000001,Philippines
Algerian Islamic Extremists,366.0,532.0,36.433386,3.427219,Algeria
Narco-Terrorists,364.0,492.0,6.270526,-75.57217299999999,Colombia
Hezbollah,356.0,1174.0,33.389444,35.501667,Lebanon
United Liberation Front of Assam (ULFA),350.0,671.0,27.091372999999997,95.023955,India
Protestant extremists,334.0,345.0,54.597269,-5.930109,United Kingdom
Al-Nusrah Front,330.0,3533.0,35.811389,36.475,Syria
Chechen Rebels,330.0,1641.0,43.316666999999995,45.683333000000005,Russia
Bangsamoro Islamic Freedom Movement (BIFM),328.0,248.0,6.986513,124.482679,Philippines
Tripoli Province of the Islamic State,328.0,503.0,31.205069,16.58889,Libya
Sinai Province of the Islamic State,325.0,1006.0,31.129212,33.812385,Egypt
Death Squad,315.0,778.0,14.630728,-90.607637,Guatemala
Baloch Republican Army (BRA),305.0,190.0,29.033333000000002,69.15,Pakistan
Movement of the Revolutionary Left (MIR) (Chile),304.0,45.0,-33.469115,-70.641997,Chile
Lord's Resistance Army (LRA),296.0,3116.0,3.4839550000000004,32.822554,Uganda
Muslim Militants,288.0,676.0,34.083658,74.797368,India
Mozambique National Resistance Movement (MNR),281.0,2441.0,-19.505979,33.438353,Mozambique
Gunmen,277.0,506.0,36.838611,3.7327779999999997,Algeria
Ulster Volunteer Force (UVF),268.0,367.0,54.597269,-5.930109,United Kingdom
Al-Qaida in the Islamic Maghreb (AQIM),265.0,924.0,36.524836,3.7549360000000003,Algeria
Ulster Freedom Fighters (UFF),258.0,202.0,54.597269,-5.930109,United Kingdom
Al-Gama'at al-Islamiyya (IG),253.0,491.0,27.731944399999996,30.841111100000003,Egypt
Dev Sol,252.0,123.0,41.013517,28.950671999999997,Turkey
Popular Liberation Army (EPL),251.0,504.0,7.021039999999999,-75.90933000000001,Colombia
Neo-Nazi extremists,241.0,47.0,52.120533,11.627624,Germany
Armed Islamic Group (GIA),227.0,1215.0,36.499194,2.9508349999999997,Algeria
Palestinian Islamic Jihad (PIJ),222.0,350.0,31.524133000000003,34.596527,Israel
Red Brigades,218.0,85.0,45.429286,9.109866,Italy
First of October Antifascist Resistance Group (GRAPO),210.0,86.0,40.416691,-3.7003449999999996,Spain
Salafist Group for Preaching and Fighting (GSPC),209.0,579.0,36.587465,3.779068,Algeria
Luhansk People's Republic,207.0,250.0,48.666667,39.466667,Ukraine
Lashkar-e-Taiba (LeT),205.0,1304.0,33.811916,74.89144399999999,India
Anti-Abortion extremists,201.0,8.0,35.084179999999996,-106.64863899999999,United States
Janjaweed,200.0,397.0,13.136304,24.466276999999998,Sudan
Tamils,196.0,1314.0,8.738157000000001,80.477147,Sri Lanka
Khorasan Chapter of the Islamic State,195.0,1197.0,34.15725,70.610747,Afghanistan
Al-Aqsa Martyrs Brigade,193.0,355.0,31.927334000000002,35.133899,West Bank and Gaza Strip
Sandinista National Liberation Front (FSLN),193.0,228.0,12.136389,-86.251389,Nicaragua
Allied Democratic Forces (ADF),192.0,1199.0,0.542101,29.490468,Democratic Republic of the Congo
Armenian Secret Army for the Liberation of Armenia,185.0,61.0,48.856614,2.3522220000000003,France
Simon Bolivar Guerrilla Coordinating Board (CGSB),185.0,364.0,6.270526,-75.57217299999999,Colombia
Islamist extremists,180.0,997.0,36.57412,2.91214,Algeria
Nicaraguan Resistance,179.0,500.0,13.13304,-85.92094,Nicaragua
Baloch Liberation Army (BLA),178.0,354.0,30.159444,66.998333,Pakistan
National Democratic Front of Bodoland (NDFB),178.0,539.0,26.63755,90.644049,India
Moro National Liberation Front (MNLF),177.0,511.0,6.921442,122.079027,Philippines
Hizbul Mujahideen (HM),174.0,467.0,33.871983,74.896874,India
Left-Wing Militants,173.0,6.0,34.092809,-118.32866100000001,United States
Muttahida Qami Movement (MQM),173.0,229.0,24.893379,67.028061,Pakistan
Palestine Liberation Organization (PLO),170.0,243.0,33.195757,35.5444,Israel
Garo National Liberation Army,168.0,84.0,25.563422,90.526736,India
Baloch Liberation Front (BLF),165.0,230.0,27.228333000000003,65.70666700000001,Pakistan
People's Liberation Forces (FPL),161.0,113.0,13.692879999999999,-89.199161,El Salvador
Popular Front for the Liberation of Palestine (PFLP),161.0,185.0,31.788433,34.791868,Israel
Muslim Separatists,161.0,179.0,34.083658,74.797368,India
Lashkar-e-Jhangvi,160.0,1507.0,30.209304,67.018137,Pakistan
Hutu extremists,156.0,3474.0,-3.209682,29.563584999999996,Burundi
Free Syrian Army,154.0,767.0,35.652204,36.19253,Syria
